episode,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,peak_mw,wall_s
0,138.93999803811312,0.9500815597013171,0.0,0.8574745566651781,3.4777900990868242,15.7
1,134.75442329183215,0.9535236588470005,0.0,0.8388893242527835,3.4150648407190913,13.7
2,134.0473697137237,0.95303696217939,0.0,0.7796374888171834,3.4172876816756723,13.6
3,123.68594985064863,0.9529605346742654,0.0,0.8013768551708557,3.4060404784780713,13.6
4,140.0698462031782,0.9515952660209149,0.0,0.8087969624612021,3.479271202251187,13.9
5,137.7610328293741,0.9527524768510978,0.0,0.7880384251776913,3.3967073801784746,13.6
6,133.85419815832375,0.9522498214188971,0.0,0.7981946352823674,3.4375542916670514,13.7
7,134.43097994250056,0.9522091966248756,0.0,0.7781902781633758,3.4073342128024215,13.7
8,131.1335914412439,0.9526020892884807,0.0,0.7775883695334799,3.415129794771744,13.9
9,122.83193372994663,0.9529183933104219,0.0,0.7467717725103976,3.398524206081687,13.7
10,140.48238069909806,0.9528042142220307,0.0,0.7878153894343043,3.3899688343969827,13.7
11,135.71055503267056,0.9514267735485481,0.0,0.7947762019105831,3.431841163958987,13.7
12,129.39078772345184,0.9511624786072396,0.0,0.7932054276392594,3.5036037379268636,13.9
13,132.97659306138758,0.9510188969865466,0.0,0.8175479419826227,3.453426828794243,13.6
14,130.5718949071169,0.9529401441627586,0.0,0.7972822467440532,3.4143069861951028,13.7
15,134.92979646256572,0.9520040605873283,0.0,0.8350156209223223,3.4176895440974415,13.7
16,117.05575505137433,0.9528680019595871,0.0,0.7484286022157243,3.3799808020135007,13.9
17,134.33169301509858,0.9502148750111793,0.0,0.790846209091936,3.5209332037471675,13.7
18,134.26747534921765,0.9496882210900893,0.06944444444444445,0.7740064226172033,3.507922739728882,13.7
19,142.8798240291774,0.9529213772724977,0.0,0.7868351266963451,3.4266833897659437,13.6
20,131.12108464491365,0.9535077577426093,0.0,0.7843466809896036,3.387742819475001,13.9
21,131.87724648556116,0.9532927233594809,0.0,0.7920303941618725,3.37177542667994,13.7
22,131.35686935186382,0.9527121396186913,0.0,0.7892519530267802,3.433082635229564,13.7
23,144.21746720629932,0.951587171988998,0.0,0.7831214998174848,3.4590875821541207,13.7
24,131.2056350512505,0.9512378123303727,0.0,0.764685043169235,3.453702020038405,13.9
