episode,stage,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,q_activation_freq,curtailed_kwh,peak_mw,wall_s
0,0,29.488028063856124,0.9555725671763365,0.0,0.8186512606639513,0.0,0.0,3.3169074950987425,15.6
1,0,29.80169229863228,0.9551501401958413,0.0,0.7933990078305604,0.0,0.0,3.339314427324301,15.1
2,0,34.72803349983102,0.9546288601998099,0.0,0.7447829696736121,0.0,0.0,3.3397902810109734,15.1
3,0,35.635714922104846,0.9555354929165198,0.0,0.7145842863554331,0.0,0.0,3.31292444947508,15.0
4,0,33.15972784817253,0.9531037537867395,0.0,0.769687353659901,0.0,0.0,3.3934881060256803,15.3
5,0,46.30422019794963,0.954616041754046,0.0,0.7616755281793106,0.0,0.0,3.3503028491296702,15.5
6,0,39.67730794475795,0.9552189805678825,0.0,0.76010925423377,0.0,0.0,3.3582332776720616,15.2
7,0,36.40790294736359,0.9551437462034786,0.0,0.6877473651966349,0.0,0.0,3.3342492569619018,15.2
8,0,38.303917002451755,0.9555971487811402,0.0,0.7075115793597281,0.0,0.0,3.333809451965571,15.3
9,0,39.037560023254834,0.9536234342769968,0.0,0.8644403942523285,0.0,0.0,3.375105098109343,15.5
10,0,46.876231691078225,0.9550214839780674,0.0,0.7633819779226093,0.0,0.0,3.3575740161425704,15.1
11,0,50.296879136919785,0.9553736919592347,0.0,0.8605082223889937,0.0,0.0,3.341719257736615,15.2
12,0,60.67123328801137,0.9544502895375623,0.0,0.9697351603660922,0.0,0.0,3.3935999414125178,15.2
13,0,60.73454778927847,0.9528939431476342,0.0,0.9190336271648,0.0,0.0,3.4189652858428423,15.4
14,0,51.083267771388456,0.9526193202041162,0.0,0.881321278443976,0.0,0.0,3.418871097170919,15.4
15,0,52.81238447218954,0.9536307721679768,0.0,0.9455739820747606,0.0,0.0,3.363882086475365,15.4
16,0,57.47291167831445,0.9528265031116665,0.0,0.884273732510128,0.0,0.0,3.393894910960873,15.3
17,0,48.63287518460341,0.9544461318084463,0.0,0.920953247016256,0.0,0.0,3.3563407331236275,15.3
18,0,67.59851464671804,0.9536194321616668,0.0,0.9803068177520547,0.0,0.0,3.37299283143432,15.5
19,0,49.05641324314509,0.9550367062097652,0.0,0.8562561694793857,0.0,0.0,3.3186309117368267,15.3
20,0,62.08574776695141,0.9521098090825388,0.0,0.8316359864657534,0.0,0.0,3.4382116106574343,15.1
21,0,47.69880103567074,0.9553396583283214,0.0,0.7773196184910491,0.0,0.0,3.3429510318828695,15.2
